sample,n,m,OPTIMAL,ALNS_objective,ALNS_time_ms
Adversarial_10000_600_6,10000,600,106,107,9530
Adversarial_1000_80_5,1000,80,65,66,1568
Adversarial_100_10_3,100,10,30,30,86
Adversarial_20000_1000_6,20000,1000,128,128,22230
Adversarial_2000_150_5,2000,150,69,70,2990
Adversarial_200_15_3,200,15,40,41,234
Adversarial_5000_300_6,5000,300,106,107,4044
Adversarial_500_30_4,500,30,67,67,232
Adversarial_50_10_2,50,10,10,10,54
Adversarial_800_50_5,800,50,82,82,415
Exponential_10000_4000_6,10000,4000,15,17,11205
Exponential_1000_700_5,1000,700,8,8,1808
Exponential_100_50_3,100,50,6,7,74
Exponential_20000_9000_6,20000,9000,14,15,47425
Exponential_2000_900_5,2000,900,12,12,3200
Exponential_200_100_3,200,100,6,7,119
Exponential_5000_2000_6,5000,2000,15,16,5169
Exponential_500_350_4,500,350,6,11,514
Exponential_50_20_2,50,20,5,5,32
Exponential_800_500_5,800,500,8,9,1304
Gaussian_10000_4000_6,10000,4000,16,16,10057
Gaussian_1000_700_5,1000,700,8,8,1599
Gaussian_100_50_3,100,50,6,7,109
Gaussian_20000_9000_6,20000,9000,14,15,44263
Gaussian_2000_900_5,2000,900,12,12,3520
Gaussian_200_100_3,200,100,6,7,160
Gaussian_5000_2000_6,5000,2000,16,16,4694
Gaussian_500_350_4,500,350,6,12,473
Gaussian_50_20_2,50,20,5,6,47
Gaussian_800_500_5,800,500,9,9,1449
Poisson_10000_4000_6,10000,4000,16,16,10276
Poisson_1000_700_5,1000,700,8,8,1584
Poisson_100_50_3,100,50,6,7,117
Poisson_20000_9000_6,20000,9000,14,15,45136
Poisson_2000_900_5,2000,900,12,12,1851
Poisson_200_100_3,200,100,6,7,138
Poisson_5000_2000_6,5000,2000,16,16,4948
Poisson_500_350_4,500,350,6,9,768
Poisson_50_20_2,50,20,5,5,35
Poisson_800_500_5,800,500,8,9,837
Uniform_10000_4000_6,10000,4000,15,16,11730
Uniform_1000_700_5,1000,700,8,8,1700
Uniform_100_50_3,100,50,6,6,72
Uniform_20000_9000_6,20000,9000,14,15,50941
Uniform_2000_900_5,2000,900,12,12,2063
Uniform_200_100_3,200,100,6,7,218
Uniform_5000_2000_6,5000,2000,15,16,5223
Uniform_500_350_4,500,350,6,9,893
Uniform_50_20_2,50,20,5,6,77
Uniform_800_500_5,800,500,8,9,1288
hustack1,5,3,4,4,13
hustack2,200,30,20,21,105
hustack3,300,30,30,31,144
hustack4,700,70,30,31,866
hustack5,900,90,30,31,560
