sample,n,m,OPTIMAL,GP_objective,GP_time_ms
Adversarial_10000_600_6,10000,600,106,109,712197
Adversarial_1000_80_5,1000,80,65,66,630259
Adversarial_100_10_3,100,10,30,30,71740
Adversarial_20000_1000_6,20000,1000,128,130,701436
Adversarial_2000_150_5,2000,150,69,71,623810
Adversarial_200_15_3,200,15,40,41,117034
Adversarial_5000_300_6,5000,300,106,108,613575
Adversarial_500_30_4,500,30,67,68,629416
Adversarial_50_10_2,50,10,10,10,10105
Adversarial_800_50_5,800,50,82,85,622977
Exponential_10000_4000_6,10000,4000,15,16,989505
Exponential_1000_700_5,1000,700,8,8,618736
Exponential_100_50_3,100,50,6,7,71748
Exponential_20000_9000_6,20000,9000,14,15,917787
Exponential_2000_900_5,2000,900,12,12,621647
Exponential_200_100_3,200,100,6,7,119811
Exponential_5000_2000_6,5000,2000,15,16,638388
Exponential_500_350_4,500,350,6,7,356381
Exponential_50_20_2,50,20,5,5,14262
Exponential_800_500_5,800,500,8,9,606214
Gaussian_10000_4000_6,10000,4000,16,16,695239
Gaussian_1000_700_5,1000,700,8,8,605527
Gaussian_100_50_3,100,50,6,7,43597
Gaussian_20000_9000_6,20000,9000,14,15,684532
Gaussian_2000_900_5,2000,900,12,12,614456
Gaussian_200_100_3,200,100,6,7,104981
Gaussian_5000_2000_6,5000,2000,16,16,704849
Gaussian_500_350_4,500,350,6,7,389131
Gaussian_50_20_2,50,20,5,5,12727
Gaussian_800_500_5,800,500,9,9,525254
Poisson_10000_4000_6,10000,4000,16,17,696478
Poisson_1000_700_5,1000,700,8,8,609042
Poisson_100_50_3,100,50,6,7,50774
Poisson_20000_9000_6,20000,9000,14,15,676722
Poisson_2000_900_5,2000,900,12,12,605450
Poisson_200_100_3,200,100,6,7,86496
Poisson_5000_2000_6,5000,2000,16,17,693856
Poisson_500_350_4,500,350,6,7,329618
Poisson_50_20_2,50,20,5,5,16491
Poisson_800_500_5,800,500,8,9,486713
Uniform_10000_4000_6,10000,4000,15,16,1060817
Uniform_1000_700_5,1000,700,8,8,621331
Uniform_100_50_3,100,50,6,7,73330
Uniform_20000_9000_6,20000,9000,14,15,1030629
Uniform_2000_900_5,2000,900,12,12,610171
Uniform_200_100_3,200,100,6,7,192949
Uniform_5000_2000_6,5000,2000,15,16,760038
Uniform_500_350_4,500,350,6,7,596100
Uniform_50_20_2,50,20,5,6,13326
Uniform_800_500_5,800,500,8,9,612125
hustack1,5,3,4,4,1709
hustack2,200,30,20,21,80778
hustack3,300,30,30,31,119668
hustack4,700,70,30,31,384949
hustack5,900,90,30,31,614268
