sample,n,m,OPTIMAL,Greedy_objective,Greedy_time_ms
Adversarial_10000_600_6,10000,600,106,107,199
Adversarial_1000_80_5,1000,80,65,66,14
Adversarial_100_10_3,100,10,30,31,0
Adversarial_20000_1000_6,20000,1000,128,128,397
Adversarial_2000_150_5,2000,150,69,70,30
Adversarial_200_15_3,200,15,40,41,4
Adversarial_5000_300_6,5000,300,106,107,213
Adversarial_500_30_4,500,30,67,69,10
Adversarial_50_10_2,50,10,10,11,0
Adversarial_800_50_5,800,50,82,83,12
Exponential_10000_4000_6,10000,4000,15,16,368
Exponential_1000_700_5,1000,700,8,8,27
Exponential_100_50_3,100,50,6,7,1
Exponential_20000_9000_6,20000,9000,14,14,577
Exponential_2000_900_5,2000,900,12,12,44
Exponential_200_100_3,200,100,6,7,2
Exponential_5000_2000_6,5000,2000,15,16,134
Exponential_500_350_4,500,350,6,6,12
Exponential_50_20_2,50,20,5,5,0
Exponential_800_500_5,800,500,8,9,24
Gaussian_10000_4000_6,10000,4000,16,16,222
Gaussian_1000_700_5,1000,700,8,8,45
Gaussian_100_50_3,100,50,6,7,1
Gaussian_20000_9000_6,20000,9000,14,14,498
Gaussian_2000_900_5,2000,900,12,12,42
Gaussian_200_100_3,200,100,6,7,2
Gaussian_5000_2000_6,5000,2000,16,16,129
Gaussian_500_350_4,500,350,6,6,8
Gaussian_50_20_2,50,20,5,6,0
Gaussian_800_500_5,800,500,9,9,17
Poisson_10000_4000_6,10000,4000,16,16,266
Poisson_1000_700_5,1000,700,8,8,17
Poisson_100_50_3,100,50,6,6,1
Poisson_20000_9000_6,20000,9000,14,14,568
Poisson_2000_900_5,2000,900,12,12,35
Poisson_200_100_3,200,100,6,7,2
Poisson_5000_2000_6,5000,2000,16,16,156
Poisson_500_350_4,500,350,6,7,7
Poisson_50_20_2,50,20,5,5,0
Poisson_800_500_5,800,500,8,9,14
Uniform_10000_4000_6,10000,4000,15,16,303
Uniform_1000_700_5,1000,700,8,8,45
Uniform_100_50_3,100,50,6,7,1
Uniform_20000_9000_6,20000,9000,14,14,622
Uniform_2000_900_5,2000,900,12,12,54
Uniform_200_100_3,200,100,6,7,5
Uniform_5000_2000_6,5000,2000,15,16,143
Uniform_500_350_4,500,350,6,6,10
Uniform_50_20_2,50,20,5,6,0
Uniform_800_500_5,800,500,8,9,21
hustack1,5,3,4,4,0
hustack2,200,30,20,21,2
hustack3,300,30,30,31,2
hustack4,700,70,30,31,34
hustack5,900,90,30,31,17
