sample,n,m,b,Optimal,Greedy,HCLS,ALNS,GP
Adversarial 0,50,10,2,10,11,10,10,10
Adversarial 1,100,10,3,30,31,30,30,30
Adversarial 2,200,15,3,40,41,40,41,41
Adversarial 3,500,30,4,67,69,68,67,68
Adversarial 4,800,50,5,82,83,83,82,85
Adversarial 5,1000,80,5,65,66,66,66,66
Adversarial 6,2000,150,5,69,70,70,70,71
Adversarial 7,5000,300,6,106,107,107,107,108
Adversarial 8,10000,600,6,106,107,108,107,109
Adversarial 9,20000,1000,6,128,128,128,128,130
Exponential 0,50,20,2,5,5,6,5,5
Exponential 1,100,50,3,6,7,7,7,7
Exponential 2,200,100,3,6,7,7,7,7
Exponential 3,500,350,4,6,6,6,11,7
Exponential 4,800,500,5,8,9,9,9,9
Exponential 5,1000,700,5,8,8,8,8,8
Exponential 6,2000,900,5,12,12,12,12,12
Exponential 7,5000,2000,6,15,16,16,16,16
Exponential 8,10000,4000,6,15,16,16,17,16
Exponential 9,20000,9000,6,14,14,14,15,15
Gaussian 0,50,20,2,5,6,6,6,5
Gaussian 1,100,50,3,6,7,7,7,7
Gaussian 2,200,100,3,6,7,7,7,7
Gaussian 3,500,350,4,6,6,6,12,7
Gaussian 4,800,500,5,9,9,9,9,9
Gaussian 5,1000,700,5,8,8,8,8,8
Gaussian 6,2000,900,5,12,12,12,12,12
Gaussian 7,5000,2000,6,16,16,16,16,16
Gaussian 8,10000,4000,6,16,16,16,16,16
Gaussian 9,20000,9000,6,14,14,14,15,15
hustack1,5,3,2,4,4,4,4,4
hustack2,200,100,3,6,7,7,7,7
hustack3,300,30,3,30,31,30,31,31
hustack4,700,70,3,30,31,30,31,31
hustack5,900,90,3,30,31,30,31,31
Poisson 0,50,20,2,5,5,5,5,5
Poisson 1,100,50,3,6,6,7,7,7
Poisson 2,200,100,3,6,7,6,7,7
Poisson 3,500,350,4,6,7,6,9,7
Poisson 4,800,500,5,8,9,9,9,9
Poisson 5,1000,700,5,8,8,8,8,8
Poisson 6,2000,900,5,12,12,12,12,12
Poisson 7,5000,2000,6,16,16,16,16,17
Poisson 8,10000,4000,6,16,16,16,16,17
Poisson 9,20000,9000,6,14,14,14,15,15
Uniform 0,50,20,2,5,6,6,6,6
Uniform 1,100,50,3,6,7,6,6,7
Uniform 2,200,30,3,20,21,21,21,21
Uniform 3,500,350,4,6,6,6,9,7
Uniform 4,800,500,5,8,9,9,9,9
Uniform 5,1000,700,5,8,8,8,8,8
Uniform 6,2000,900,5,12,12,12,12,12
Uniform 7,5000,2000,6,15,16,16,16,16
Uniform 8,10000,4000,6,15,16,16,16,16
Uniform 9,20000,9000,6,14,14,14,15,15
