sample,n,m,b,ILP_Ortools_objective,ILP_Ortools_time_ms,CP_Ortools_objective,CP_Ortools_time_ms,ILP_gurobi_objective,ILP_gurobi_time_ms
Adversarial 0,50,10,2,10,10,10,16,10,5
Adversarial 1,100,10,3,30,39,30,128,30,8
Adversarial 2,200,15,3,40,68,40,108,40,18
Adversarial 3,500,30,4,67,280,67,326,67,113
Adversarial 4,800,50,5,82,696,82,948,82,204
Adversarial 5,1000,80,5,65,999,65,3100,65,664
Adversarial 6,2000,150,5,69,3966,69,600249,69,1254
Adversarial 7,5000,300,6,106,41516,106,600802,106,14441
Adversarial 8,10000,600,6,149,760855,106,601574,106,97468
Adversarial 9,20000,1000,6,183,784204,128,603446,128,428173
Exponential 0,50,20,2,5,16,5,22,5,9
Exponential 1,100,50,3,6,57,6,87,6,14
Exponential 2,200,100,3,6,137,6,162,6,47
Exponential 3,500,350,4,6,1016,6,1603,6,509
Exponential 4,800,500,5,8,4826,8,7664,8,335
Exponential 5,1000,700,5,8,4715,8,600203,8,3272
Exponential 6,2000,900,5,26,617995,12,600327,12,9439
Exponential 7,5000,2000,6,30,898355,15,601621,15,14820
Exponential 8,10000,4000,6,28,885106,15,602163,15,61932
Exponential 9,20000,9000,6,30,921194,14,604697,14,2409530
Gaussian 0,50,20,2,5,15,5,20,5,6
Gaussian 1,100,50,3,6,58,6,98,6,13
Gaussian 2,200,100,3,6,111,6,206,6,32
Gaussian 3,500,350,4,6,691,6,1004,6,827
Gaussian 4,800,500,5,9,1716,9,599903,9,1029
Gaussian 5,1000,700,5,8,3946,8,498038,8,2895
Gaussian 6,2000,900,5,12,342269,12,600287,12,5133
Gaussian 7,5000,2000,6,29,848155,16,600765,16,21996
Gaussian 8,10000,4000,6,29,855337,16,601646,16,177038
Gaussian 9,20000,9000,6,28,800141,14,568291,14,774545
hustack1,5,3,2,4,3,4,3,4,2
hustack2,200,30,3,20,58,20,121,20,520
hustack3,300,30,3,30,74,30,175,30,45
hustack4,700,70,3,30,537,30,1621,30,108
hustack5,900,90,3,30,796,30,1476,30,146
Poisson 0,50,20,2,5,15,5,26,5,6
Poisson 1,100,50,3,6,60,6,61,6,14
Poisson 2,200,100,3,6,109,6,161,6,37
Poisson 3,500,350,4,6,585,6,1101,6,451
Poisson 4,800,500,5,8,1404,8,16425,8,319
Poisson 5,1000,700,5,8,2928,8,599955,8,2825
Poisson 6,2000,900,5,12,330627,12,600304,12,5253
Poisson 7,5000,2000,6,30,879356,16,600721,16,32804
Poisson 8,10000,4000,6,30,884789,16,601885,16,177062
Poisson 9,20000,9000,6,31,844061,14,578841,14,562033
Uniform 0,50,20,2,5,14,5,18,5,7
Uniform 1,100,50,3,6,61,6,83,6,16
Uniform 2,200,100,3,6,174,6,245,6,37
Uniform 3,500,350,4,6,1385,6,2786,6,766
Uniform 4,800,500,5,8,2847,8,16246,8,361
Uniform 5,1000,700,5,8,48042,8,600207,8,2940
Uniform 6,2000,900,5,24,760219,12,600390,12,10229
Uniform 7,5000,2000,6,28,934078,15,601115,15,9192
Uniform 8,10000,4000,6,30,884006,15,602582,15,59760
Uniform 9,20000,9000,6,30,997628,14,604556,14,2265356
