sample,n,m,CP_Ortools_objective,CP_Ortools_time_ms,CP_Ortools_optimal,ILP_Ortools_objective,ILP_Ortools_time_ms,ILP_Ortools_optimal
Adversarial_10000_600_6,10000,600,106,601574,FALSE,149,760855,FALSE
Adversarial_1000_80_5,1000,80,65,3100,TRUE,65,999,TRUE
Adversarial_100_10_3,100,10,30,128,TRUE,30,39,TRUE
Adversarial_20000_1000_6,20000,1000,128,603446,FALSE,183,784204,FALSE
Adversarial_2000_150_5,2000,150,69,600249,FALSE,69,3966,TRUE
Adversarial_200_15_3,200,15,40,108,TRUE,40,68,TRUE
Adversarial_5000_300_6,5000,300,106,600802,FALSE,106,41516,TRUE
Adversarial_500_30_4,500,30,67,326,TRUE,67,280,TRUE
Adversarial_50_10_2,50,10,10,16,TRUE,10,10,TRUE
Adversarial_800_50_5,800,50,82,948,TRUE,82,696,TRUE
Exponential_10000_4000_6,10000,4000,15,602163,FALSE,28,885106,FALSE
Exponential_1000_700_5,1000,700,8,600203,FALSE,8,4715,TRUE
Exponential_100_50_3,100,50,6,87,TRUE,6,57,TRUE
Exponential_20000_9000_6,20000,9000,14,604697,FALSE,30,921194,FALSE
Exponential_2000_900_5,2000,900,12,600327,FALSE,26,617995,FALSE
Exponential_200_100_3,200,100,6,162,TRUE,6,137,TRUE
Exponential_5000_2000_6,5000,2000,15,601621,FALSE,30,898355,FALSE
Exponential_500_350_4,500,350,6,1603,TRUE,6,1016,TRUE
Exponential_50_20_2,50,20,5,22,TRUE,5,16,TRUE
Exponential_800_500_5,800,500,8,7664,TRUE,8,4826,TRUE
Gaussian_10000_4000_6,10000,4000,16,601646,FALSE,29,855337,FALSE
Gaussian_1000_700_5,1000,700,8,498038,TRUE,8,3946,TRUE
Gaussian_100_50_3,100,50,6,98,TRUE,6,58,TRUE
Gaussian_20000_9000_6,20000,9000,14,568291,FALSE,28,800141,FALSE
Gaussian_2000_900_5,2000,900,12,600287,FALSE,12,342269,TRUE
Gaussian_200_100_3,200,100,6,206,TRUE,6,111,TRUE
Gaussian_5000_2000_6,5000,2000,16,600765,FALSE,29,848155,FALSE
Gaussian_500_350_4,500,350,6,1004,TRUE,6,691,TRUE
Gaussian_50_20_2,50,20,5,20,TRUE,5,15,TRUE
Gaussian_800_500_5,800,500,9,599903,FALSE,9,1716,TRUE
Poisson_10000_4000_6,10000,4000,16,601885,FALSE,30,884789,FALSE
Poisson_1000_700_5,1000,700,8,599955,FALSE,8,2928,TRUE
Poisson_100_50_3,100,50,6,61,TRUE,6,60,TRUE
Poisson_20000_9000_6,20000,9000,14,578841,FALSE,31,844061,FALSE
Poisson_2000_900_5,2000,900,12,600304,FALSE,12,330627,TRUE
Poisson_200_100_3,200,100,6,161,TRUE,6,109,TRUE
Poisson_5000_2000_6,5000,2000,16,600721,FALSE,30,879356,FALSE
Poisson_500_350_4,500,350,6,1101,TRUE,6,585,TRUE
Poisson_50_20_2,50,20,5,26,TRUE,5,15,TRUE
Poisson_800_500_5,800,500,8,16425,TRUE,8,1404,TRUE
Uniform_10000_4000_6,10000,4000,15,602582,FALSE,30,884006,FALSE
Uniform_1000_700_5,1000,700,8,600207,FALSE,8,48042,TRUE
Uniform_100_50_3,100,50,6,83,TRUE,6,61,TRUE
Uniform_20000_9000_6,20000,9000,14,604556,FALSE,30,997628,FALSE
Uniform_2000_900_5,2000,900,12,600390,FALSE,24,760219,FALSE
Uniform_200_100_3,200,100,6,245,TRUE,6,174,TRUE
Uniform_5000_2000_6,5000,2000,15,601115,FALSE,28,934078,FALSE
Uniform_500_350_4,500,350,6,2786,TRUE,6,1385,TRUE
Uniform_50_20_2,50,20,5,18,TRUE,5,14,TRUE
Uniform_800_500_5,800,500,8,16246,TRUE,8,2847,TRUE
hustack1,5,3,4,3,TRUE,4,3,TRUE
hustack2,200,30,20,121,TRUE,20,58,TRUE
hustack3,300,30,30,175,TRUE,30,74,TRUE
hustack4,700,70,30,1621,TRUE,30,537,TRUE
hustack5,900,90,30,1476,TRUE,30,796,TRUE
